pair,pixel,fourier,curvature,centroid,texture,total
0.right - 1.left,0.3226891,0.43586841799741693,1.0,0.5587292455552966,0.3436033038273841,0.3817659858587129
0.bottom - 1.top,0.338352,0.5220422055449465,0.8530811608401327,0.42641570912936616,0.29988005326825734,0.38301345676611737
0.right - 2.left,0.48853874,0.3749408146767149,1.0,0.3836227925604675,0.3018922624154964,0.47884156678304524
0.bottom - 2.top,0.3504435,0.2722718123607332,1.0,0.38235384434133196,0.2713889697261314,0.36879422598643724
0.right - 3.left,0.2985761,0.30229022243419656,0.9351727660536231,0.2780592806895443,0.34104498522448135,0.3339983778742588
0.bottom - 3.top,0.27509338,0.35477943398712075,0.987684456060362,0.4320958228602897,0.3053016375560069,0.32956248772613117
0.right - 4.left,0.5679038,0.29723581930594134,0.8859320044324537,0.3837995674151409,0.21561785186358917,0.51230461739932
0.bottom - 4.top,0.3439776,0.5442067023678455,0.9719260622274264,0.4163474383164958,0.32085216511569925,0.3967038790305707
0.right - 5.left,0.12343604,0.399468838658415,1.0,0.4037702767179897,0.33506279928505467,0.23004690272837952
0.bottom - 5.top,0.26071426,0.46930092563975073,0.9703982277705736,0.3108653836322981,0.3457381885502296,0.32806706695519083
0.right - 6.left,0.55291784,0.37106509353696226,1.0,0.3581866219632337,0.3279357330764654,0.524851906387602
0.bottom - 6.top,0.28011206,0.15334708117618304,0.9909000369249371,0.37402715110355195,0.35338432994186597,0.3149979350997543
0.right - 7.left,0.51183474,0.33168826318244243,0.9566545779596666,0.4046388305351451,0.3793669900421203,0.4974545201547744
0.bottom - 7.top,0.33720824,0.4261308388248427,1.0,0.44002010674564895,0.33038547527579487,0.383698399643884
0.right - 8.left,0.3173903,0.3176769738901581,0.9490491089831697,0.48952369434501675,0.4413872991518912,0.3700082665281933
0.bottom - 8.top,0.31367883,0.5334073943315522,0.9985095803148502,0.38985654031886424,0.29741040163201854,0.3720752672314745
0.right - 9.left,0.28853872,0.37803960489220334,0.9046080827471976,0.35220490124129417,0.33737931536054605,0.33635964517329264
0.bottom - 9.top,0.32689074,0.430520251752864,0.9943813755892141,0.4155318684438397,0.3389231921472257,0.37626351938424896
0.right - 10.left,0.3080299,0.2954833752044393,1.0,0.41375080212128323,0.35737631396071035,0.3515944290846443
0.bottom - 10.top,0.2941877,0.443011776297934,0.79860778131174,0.3302624318782018,0.1886204505505379,0.3255381137354652
0.right - 11.left,0.56748366,0.2767437338775407,1.0,0.3886934482064174,0.29594246657833095,0.5239418450262511
0.bottom - 11.top,0.39932305,0.32706750803655216,0.9068374632727301,0.41434127038685503,0.32329316000287295,0.410621117950728
0.right - 12.left,0.5809757,0.44868833877605496,0.9431978703857264,0.38856150063223005,0.2256397305941809,0.5407037734298922
0.bottom - 12.top,0.39467788,0.4925132418474658,1.0,0.41098211018292113,0.31715751555215754,0.4277906835264827
0.right - 13.left,0.5117647,0.3579622321173554,0.9878678143617339,0.39440810843585883,0.32175587001594474,0.49532090594045936
0.bottom - 13.top,0.27913165,0.321130841838664,0.9065649639341594,0.362723784439866,0.29904206429273705,0.3208738747384225
0.right - 14.left,0.38433707,0.34072215832525343,1.0,0.22043111384870193,0.2989321779056805,0.394022924717445
0.bottom - 14.top,0.21755368,0.16983030513209998,0.9102008621996126,0.46341112549654945,0.36310939762031935,0.27426214228234924
